time,Mag1_X,Mag1_Y,Mag1_Z,Mag2_X,Mag2_Y,Mag2_Z,Mag3_X,Mag3_Y,Mag3_Z,Mag4_X,Mag4_Y,Mag4_Z
25:54.6,51,-198,-144,190,-24,-246,350,5,-246,457,-290,-182
25:55.0,51,-199,-141,186,-23,-253,355,7,-246,459,-289,-172
25:55.4,45,-199,-147,189,-22,-255,359,7,-238,452,-293,-176
25:55.9,48,-197,-151,192,-22,-244,353,6,-243,455,-286,-184
25:56.3,52,-199,-142,187,-24,-248,353,6,-247,459,-286,-179
25:56.7,46,-198,-149,187,-22,-256,359,5,-240,454,-293,-169
25:57.1,47,-198,-153,192,-23,-245,355,6,-241,453,-285,-188
25:57.6,52,-199,-145,188,-24,-247,352,5,-248,459,-288,-179
25:58.0,47,-197,-142,186,-22,-254,357,7,-245,456,-286,-176
25:58.4,44,-198,-153,191,-23,-250,356,5,-239,451,-289,-178
25:58.8,51,-198,-147,191,-23,-245,351,6,-247,455,-287,-186
25:59.2,51,-197,-144,185,-24,-251,355,7,-246,459,-287,-177
25:59.7,46,-198,-148,188,-23,-251,358,7,-239,452,-288,-178
26:00.1,48,-199,-148,192,-23,-242,352,6,-244,453,-295,-175
26:00.5,52,-196,-143,187,-22,-246,352,6,-247,458,-295,-171
26:00.9,46,-198,-143,187,-22,-253,359,8,-240,455,-286,-177
26:01.3,46,-198,-151,192,-23,-247,355,7,-238,452,-285,-185
26:01.8,53,-199,-143,190,-24,-245,351,7,-247,458,-287,-179
26:02.2,49,-198,-141,186,-24,-254,357,8,-245,456,-295,-169
26:02.6,45,-199,-150,192,-23,-248,357,6,-236,451,-294,-174
26:03.0,50,-197,-147,190,-22,-246,351,6,-245,457,-294,-178
26:03.5,50,-199,-142,186,-24,-252,356,5,-246,458,-294,-167
26:03.9,45,-199,-148,190,-23,-251,358,7,-239,452,-293,-176
26:04.3,49,-197,-151,192,-23,-246,352,6,-248,454,-293,-179
26:04.7,52,-198,-142,186,-24,-251,352,7,-250,458,-292,-169
26:05.1,46,-198,-149,188,-24,-253,357,8,-242,454,-295,-171
26:05.6,47,-198,-151,192,-23,-248,353,5,-241,453,-294,-177
